ratio,cents,lcm,lcm_heur,prime_fac
1/1,0.0,1,1.0,[]
257/256,6.749459032653728,257,49.90480652041507,[[257\, 1]]
1031/1024,11.794340841730053,1031,350.62077384828194,[[1031\, 1]]
1033/1024,15.149446638071414,1033,393.8070554157723,[[1033\, 1]]
80/79,21.776816052311425,395,198.78713652859065,[[5\, 1]\, [79\, 1]]
79/78,22.054235177825422,3081,1669.4394859278475,[[3\, 1]\, [13\, 1]\, [79\, 1]]
78/77,22.338813800816194,3003,1638.8797665849925,[[3\, 1]\, [7\, 1]\, [11\, 1]\, [13\, 1]]
77/76,22.630832701578925,1463,897.7572402124931,[[7\, 1]\, [11\, 1]\, [19\, 1]]
76/75,22.930587537245685,1425,773.1014147138081,[[3\, 1]\, [5\, 2]\, [19\, 1]]
75/74,23.238389840317456,2775,1374.4547319982578,[[3\, 1]\, [5\, 2]\, [37\, 1]]
74/73,23.554568098719155,2701,1236.2093321055443,[[37\, 1]\, [73\, 1]]
73/72,23.879468925245757,657,299.47062773577267,[[3\, 2]\, [73\, 1]]
72/71,24.213458325156328,639,272.2895840179364,[[3\, 2]\, [71\, 1]]
71/70,24.556923071658638,2485,1207.9724624182943,[[5\, 1]\, [7\, 1]\, [71\, 1]]
70/69,24.910272200156992,2415,1129.3141114983193,[[3\, 1]\, [5\, 1]\, [7\, 1]\, [23\, 1]]
1039/1024,25.175926685054126,1039,394.4512020627692,[[1039\, 1]]
69/68,25.273938633395485,1173,484.19928619547795,[[3\, 1]\, [17\, 1]\, [23\, 1]]
68/67,25.648380951080444,1139,431.0094117426894,[[17\, 1]\, [67\, 1]]
67/66,26.034085319182772,2211,970.5154862401639,[[3\, 1]\, [11\, 1]\, [67\, 1]]
66/65,26.43156759599862,2145,916.3799957740831,[[3\, 1]\, [5\, 1]\, [11\, 1]\, [13\, 1]]
65/64,26.84137563414541,65,62.40652251925303,[[5\, 1]\, [13\, 1]]
64/63,27.26409180010014,63,61.28568729023421,[[3\, 2]\, [7\, 1]]
63/62,27.700335735649492,1953,784.3563616666187,[[3\, 2]\, [7\, 1]\, [31\, 1]]
62/61,28.15076738878675,1891,665.391622777348,[[31\, 1]\, [61\, 1]]
61/60,28.616090345241194,915,396.05897399032875,[[3\, 1]\, [5\, 1]\, [61\, 1]]
60/59,29.097055496012647,885,369.7757312745046,[[3\, 1]\, [5\, 1]\, [59\, 1]]
59/58,29.594465081122838,1711,618.9683219389824,[[29\, 1]\, [59\, 1]]
58/57,30.109177155396626,1653,585.8990278827764,[[3\, 1]\, [19\, 1]\, [29\, 1]]
521/512,30.167474734209872,521,286.61385073884895,[[521\, 1]]
57/56,30.642110528564974,399,275.9074527112776,[[3\, 1]\, [7\, 1]\, [19\, 1]]
56/55,31.194250239533226,385,242.72674687504895,[[5\, 1]\, [7\, 1]\, [11\, 1]]
55/54,31.766653633429414,1485,515.9048127137438,[[3\, 3]\, [5\, 1]\, [11\, 1]]
54/53,32.36045712032323,1431,653.7212508726362,[[3\, 3]\, [53\, 1]]
53/52,32.976883706528305,689,366.3373339731436,[[13\, 1]\, [53\, 1]]
52/51,33.617251403515766,663,350.7081023205155,[[3\, 1]\, [13\, 1]\, [17\, 1]]
51/50,34.282982636125105,1275,729.5949532368992,[[3\, 1]\, [5\, 2]\, [17\, 1]]
50/49,34.975614791419815,1225,652.1617152733849,[[5\, 2]\, [7\, 2]]
49/48,35.696812072862315,147,108.81609485816436,[[3\, 1]\, [7\, 2]]
48/47,36.44837885222243,141,86.84252450618126,[[3\, 1]\, [47\, 1]]
523/512,36.80056349632965,523,296.6742782025518,[[523\, 1]]
47/46,37.23227474474957,1081,510.73922235735824,[[23\, 1]\, [47\, 1]]
46/45,38.05063167280566,1035,499.86123938878717,[[3\, 2]\, [5\, 1]\, [23\, 1]]
45/44,38.90577323085291,495,306.7719172948209,[[3\, 2]\, [5\, 1]\, [11\, 1]]
44/43,39.80023672223925,473,271.4230002722015,[[11\, 1]\, [43\, 1]]
131/128,40.10760184494033,131,65.5151723281207,[[131\, 1]]
43/42,40.736798308005035,903,495.77455142061433,[[3\, 1]\, [7\, 1]\, [43\, 1]]
42/41,41.71850179281195,861,449.73767614846975,[[3\, 1]\, [7\, 1]\, [41\, 1]]
1049/1024,41.75875509272112,1049,522.2715337569972,[[1049\, 1]]
41/40,42.74869167686547,205,141.02704278075961,[[5\, 1]\, [41\, 1]]
40/39,43.83105123013665,195,122.29458221113715,[[3\, 1]\, [5\, 1]\, [13\, 1]]
79/77,44.393048978641886,6083,2938.595917622172,[[7\, 1]\, [11\, 1]\, [79\, 1]]
39/38,44.969646502395555,741,408.14015385883465,[[3\, 1]\, [13\, 1]\, [19\, 1]]
1051/1024,45.05634475461409,1051,498.81299208594055,[[1051\, 1]]
77/75,45.561420238824496,5775,2989.022242311223,[[3\, 1]\, [5\, 2]\, [7\, 1]\, [11\, 1]]
38/37,46.16897737756276,703,379.6994880871401,[[19\, 1]\, [37\, 1]]
263/256,46.70278715076282,263,125.90464019624106,[[263\, 1]]
75/73,46.79295793903656,5475,1545.506825874185,[[3\, 1]\, [5\, 2]\, [73\, 1]]
37/36,47.434037023964734,333,227.2734690203444,[[3\, 2]\, [37\, 1]]
73/71,48.09292725040214,5183,1294.9801637359117,[[71\, 1]\, [73\, 1]]
36/35,48.77038139681492,315,212.91152812266415,[[3\, 2]\, [5\, 1]\, [7\, 1]]
71/69,49.467195271815456,4899,1352.3389836696886,[[3\, 1]\, [23\, 1]\, [71\, 1]]
35/34,50.18421083355228,595,378.918636877695,[[5\, 1]\, [7\, 1]\, [17\, 1]]
69/67,50.92231958447609,4623,1424.310280735752,[[3\, 1]\, [23\, 1]\, [67\, 1]]
34/33,51.68246627026312,561,311.5866082611164,[[3\, 1]\, [11\, 1]\, [17\, 1]]
67/65,52.46565291518133,4355,1538.744467147739,[[5\, 1]\, [13\, 1]\, [67\, 1]]
33/32,53.27294323014412,33,32.43806562282514,[[3\, 1]\, [11\, 1]]
65/63,54.10546743424583,4095,1671.6588654057755,[[3\, 2]\, [5\, 1]\, [7\, 1]\, [13\, 1]]
32/31,54.96442753574971,31,30.999999999999996,[[31\, 1]]
63/61,55.85110312443629,3843,1323.9456308684112,[[3\, 2]\, [7\, 1]\, [61\, 1]]
31/30,56.766857734028186,465,271.1738621441947,[[3\, 1]\, [5\, 1]\, [31\, 1]]
61/59,57.713145841253876,3599,1233.7908344523146,[[59\, 1]\, [61\, 1]]
30/29,58.691520577135805,435,270.0222674457216,[[3\, 1]\, [5\, 1]\, [29\, 1]]
59/57,59.70364223651968,3363,1425.763073890178,[[3\, 1]\, [19\, 1]\, [59\, 1]]
29/28,60.75128768396177,203,602.3102225518685,[[7\, 1]\, [29\, 1]]
1061/1024,61.450729097717755,1061,478.6593119851235,[[1061\, 1]]
57/55,61.8363607680985,3135,1701.3474016954615,[[3\, 1]\, [5\, 1]\, [11\, 1]\, [19\, 1]]
28/27,62.960903872962575,189,257.99952389812483,[[3\, 3]\, [7\, 1]]
55/53,64.1271107537525,2915,1600.6273393100005,[[5\, 1]\, [11\, 1]\, [53\, 1]]
